molecule_chembl_id,canonical_smiles,pAffinity,MW,logP,TPSA,HBD,HBA,RotB,AromR,QED,scaffold,peptide_like
CHEMBL3920049,C[C@@H]1C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,10.0,541.0920000000003,2.7238000000000007,99.77,3,5,3,2,0.5557620873783934,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3905791,C[C@@H]1C(=O)N[C@H](Cc2ccc(Cl)cc2Cl)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,10.0,575.5370000000003,3.377200000000001,99.77,3,5,3,2,0.521574905122561,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3921750,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)c(F)c2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.0,542.6270000000003,2.3486000000000002,99.77,3,5,3,2,0.5532530411238766,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3929593,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NC/C=C/c2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,10.0,522.6210000000003,2.2901000000000007,99.77,3,5,3,2,0.5746671937687727,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2C=CCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3917385,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NC/C=C\c2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.0,522.6210000000003,2.2901000000000007,99.77,3,5,3,2,0.5746671937687727,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2C=CCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3938104,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCC#Cc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.0,520.6050000000004,1.6283999999999996,99.77,3,5,3,2,0.5346695666004281,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2C#CCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3973254,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCC/C=C\COCCN[C@@H](C2CC2)C(=O)N1C,7.0,474.57700000000034,1.1608000000000012,99.77,3,5,3,1,0.5713144340050256,O=C1CNC(=O)C(C2CC2)NCCOCC=CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3918022,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCC(C)(C)c2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,7.0,552.6910000000003,2.944600000000002,99.77,3,5,3,2,0.5439974212992303,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3961160,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2cc(C(F)(F)F)ccc2OCCN[C@@H](C2CC2)C(=O)N1C,7.0,592.634,3.2283000000000017,99.77,3,5,3,2,0.4758407180067549,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3976294,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2cc(Cl)ccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.0,559.0820000000003,2.8629000000000016,99.77,3,5,3,2,0.5379231231027615,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923643,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2cc(F)ccc2OCCN[C@@H](C2CC2)C(=O)N1C,7.6182860032185316,542.6270000000003,2.3486000000000002,99.77,3,5,3,2,0.5532530411238766,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3932408,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2cc(NS(C)(=O)=O)ccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.0,617.7440000000001,1.581000000000002,145.94000000000003,4,7,5,2,0.398703889968855,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923642,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccc(F)cc2OCCN[C@@H](C2CC2)C(=O)N1C,9.292513326014591,542.6270000000003,2.3486000000000002,99.77,3,5,3,2,0.5532530411238766,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3966251,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccc(NS(C)(=O)=O)cc2OCCN[C@@H](C2CC2)C(=O)N1C,7.0,617.7440000000001,1.581000000000002,145.94000000000003,4,7,5,2,0.398703889968855,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
