molecule_chembl_id,canonical_smiles,pEC50,MW,logP,TPSA,QED,scaffold,peptide_like
CHEMBL4175360,Nc1ccncc1C(=O)N[C@H]1c2ccccc2C[C@@H]1NC(=O)c1nc2cc(F)c(F)cc2[nH]1,7.619126264458624,448.4330000000001,2.644100000000001,125.78999999999999,0.3819496576688824,O=C(NC1c2ccccc2CC1NC(=O)c1nc2ccccc2[nH]1)c1cccnc1,False
CHEMBL391859,O=C(N[C@H](Cc1c[nH]c2ccccc12)C1=NNC(CCc2ccccc2)N1Cc1ccco1)C1CCNCC1,6.73754891026957,524.6690000000003,4.165600000000003,97.69,0.24976879261016063,O=C(NC(Cc1c[nH]c2ccccc12)C1=NNC(CCc2ccccc2)N1Cc1ccco1)C1CCNCC1,True
CHEMBL2113326,O=C(N[C@H](Cc1c[nH]c2ccccc12)c1nnc(CCc2c[nH]c3ccccc23)n1-c1ccccc1)C1CCNCC1,8.638272163982407,557.702,5.414700000000004,103.42000000000002,0.19075095174254778,O=C(NC(Cc1c[nH]c2ccccc12)c1nnc(CCc2c[nH]c3ccccc23)n1-c1ccccc1)C1CCNCC1,True
CHEMBL2113322,O=C(N[C@H](Cc1c[nH]c2ccccc12)c1nnc(CCc2c[nH]c3ccccc23)n1Cc1ccccc1)C1CCCNC1,8.00436480540245,571.7289999999999,5.473800000000004,103.42000000000002,0.17500398034786718,O=C(NC(Cc1c[nH]c2ccccc12)c1nnc(CCc2c[nH]c3ccccc23)n1Cc1ccccc1)C1CCCNC1,True
CHEMBL2113325,O=C(N[C@H](Cc1c[nH]c2ccccc12)c1nnc(CCc2c[nH]c3ccccc23)n1Cc1ccccc1)C1CCNCC1,8.267606240177031,571.7289999999999,5.473800000000004,103.42000000000002,0.17500398034786718,O=C(NC(Cc1c[nH]c2ccccc12)c1nnc(CCc2c[nH]c3ccccc23)n1Cc1ccccc1)C1CCNCC1,True
CHEMBL106841,O=C(N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](CO)Cc1c[nH]c2ccccc12)C1CCNCC1,8.0,498.62700000000035,3.0678,106.25,0.24455386058349077,O=C(NC(Cc1ccc2ccccc2c1)C(=O)NCCc1c[nH]c2ccccc12)C1CCNCC1,False
CHEMBL133848,O=C(N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](CO)Cc1ccc2ccccc2c1)C1CCNCC1,8.74232805345581,509.6500000000004,3.739700000000002,90.46000000000001,0.27676368795793216,O=C(NC(Cc1ccc2ccccc2c1)C(=O)NCCc1ccc2ccccc2c1)C1CCNCC1,True
CHEMBL4636780,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N1C[C@H]2CCNC[C@H]21)c1cc(-c2ccccc2Cl)on1,8.62486617330034,570.0710000000004,2.2344,124.85000000000001,0.4662607386383602,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)N1CC2CCNCC21)c1cc(-c2ccccc2)on1,False
CHEMBL4649634,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)NC[C@@H]1CCCN1)c1cc(-c2ccccc2Cl)on1,9.045757490560675,558.0600000000003,2.2823,133.64000000000001,0.38672052382866295,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NCC1CCCN1)c1cc(-c2ccccc2)on1,False
CHEMBL4632657,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1cc(-c2ccc(Cl)cc2)on1,8.711797647901994,558.0600000000003,2.2823,133.64000000000001,0.40562085754406707,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccccc2)on1,False
CHEMBL4643530,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1cc(-c2ccc(Cl)cc2Cl)on1,9.614456251331553,592.5050000000002,2.9357000000000006,133.64000000000001,0.38435812202926806,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccccc2)on1,False
CHEMBL4640438,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1cc(-c2ccccc2)on1,8.309826712131663,523.6150000000004,1.6289000000000005,133.64000000000001,0.4286167604227649,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccccc2)on1,False
CHEMBL4639111,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1cc(-c2ccccc2Cl)on1,9.377292776533405,558.0600000000003,2.2823,133.64000000000001,0.40562085754406707,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccccc2)on1,False
CHEMBL4640573,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1cc(C2CC2)n[nH]1,6.1815207175612406,486.59800000000035,0.5744000000000007,136.29000000000002,0.4518980377999997,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(C2CC2)n[nH]1,False
CHEMBL4635743,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1ccc(-c2cc(C(F)(F)F)ccc2Cl)o1,7.878167517308797,625.0690000000004,3.906100000000002,120.75000000000001,0.3667567670739347,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1ccc(-c2ccccc2)o1,False
CHEMBL4637255,O=C(N[C@H]1CN(S(=O)(=O)c2ccccc2)C[C@@H]1C(=O)N[C@H]1CCCNC1)c1nnc(-c2ccc(F)cc2)s1,7.983288122256525,558.6610000000004,1.6315,133.39000000000001,0.40148627686505656,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1nnc(-c2ccccc2)s1,False
CHEMBL4160434,O=C(N[C@H]1Cc2ccccc2[C@@H]1NC(=O)[C@H]1CCNC1)c1cc2cc(F)ccc2[nH]1,7.313945539871085,406.46100000000007,2.4284999999999997,86.02000000000001,0.5368822703877446,O=C(NC1Cc2ccccc2C1NC(=O)C1CCNC1)c1cc2ccccc2[nH]1,False
CHEMBL3932434,O=C1NC/C=C\c2ccccc2OCCNC2(CCCC2)C(=O)NC2(CCCC2)C(=O)N[C@H]1Cc1ccccc1,9.0,544.6960000000005,3.2673000000000014,108.56,0.4642806939355439,O=C1NCC=Cc2ccccc2OCCNC2(CCCC2)C(=O)NC2(CCCC2)C(=O)NC1Cc1ccccc1,False
CHEMBL3958460,O=C1NC/C=C\c2ccccc2OCCN[C@@H](C2CC2)C(=O)NC2(CCCC2)C(=O)N[C@H]1Cc1ccc(Cl)cc1,9.0,565.1140000000005,3.3865000000000016,108.56,0.45697876798222403,O=C1NCC=Cc2ccccc2OCCNC(C2CC2)C(=O)NC2(CCCC2)C(=O)NC1Cc1ccccc1,False
CHEMBL4637585,O=CN1CCC[C@H](NC(=O)[C@H]2CN(S(=O)(=O)c3ccccc3)C[C@@H]2NC(=O)c2cc(-c3ccccc3Cl)on2)C1,6.789422406319346,586.0700000000002,2.1511000000000013,141.91999999999996,0.3857595989654748,O=C(NC1CN(S(=O)(=O)c2ccccc2)CC1C(=O)NC1CCCNC1)c1cc(-c2ccccc2)on1,False
