label,scenario,r2,r2sd,mae,rho,sim
随机切分,同系列补测数据（过度乐观）,0.4847981418408699,0.07010519650300713,0.616751123497253,0.6803847227453108,0.8383695
Scaffold Split,新骨架、同化学类型,0.39900479330240757,0.04688293745057774,0.6145345206407876,0.6137774815068772,0.7859867
Butina 0.35,新化学系列,0.2911617633701467,0.05873035930460095,0.8285710705605792,0.4919453186313172,0.6789616
Butina 0.45,新化学系列,-0.04681366008462358,0.020622120456943532,0.8526448280932,0.30862761753791,0.4940639
Butina 0.55,跨化学类型（不现实）,0.12548488246618544,0.015285444264422448,0.911436788354431,0.28626636132917604,0.3265306
Butina 0.65,跨化学类型（不现实）,0.006298895612873223,0.020129192953515267,0.9390050623673221,0.3217951495416505,0.25
