Gene	Gene name	Cell type	nCPM
ENSG00000121853	GHSR	pancreatic islet cells	3.6
ENSG00000121853	GHSR	paneth cells	0.0
ENSG00000121853	GHSR	papillary tip epithelial cells	0.0
ENSG00000121853	GHSR	parietal cells	0.0
ENSG00000121853	GHSR	pdcs	0.0
ENSG00000121853	GHSR	pericytes	0.0
ENSG00000121853	GHSR	peritubular myoid cells	0.0
ENSG00000121853	GHSR	pituicytes/fscs	0.0
ENSG00000121853	GHSR	pituitary stem cells	0.0
ENSG00000121853	GHSR	plasma cells	0.1
ENSG00000121853	GHSR	platelets	0.0
ENSG00000121853	GHSR	podocytes	0.0
ENSG00000121853	GHSR	prostatic club cells	0.0
ENSG00000121853	GHSR	prostatic glandular cells	0.0
ENSG00000121853	GHSR	prostatic hillock cells	0.0
ENSG00000121853	GHSR	proximal tubule cells	0.0
ENSG00000121853	GHSR	renal collecting duct intercalated cells	0.0
ENSG00000121853	GHSR	renal collecting duct principal cells	0.0
ENSG00000121853	GHSR	renal connecting tubule cells	0.0
ENSG00000121853	GHSR	respiratory basal cells	0.0
ENSG00000121853	GHSR	respiratory ciliated cells	0.0
ENSG00000121853	GHSR	respiratory deuterosomal cells	0.0
ENSG00000121853	GHSR	respiratory ionocytes	0.0
ENSG00000121853	GHSR	respiratory secretory cells	0.0
ENSG00000121853	GHSR	retinal amacrine cells	0.0
ENSG00000121853	GHSR	retinal bipolar cells	0.0
ENSG00000121853	GHSR	retinal ganglion cells	0.0
ENSG00000121853	GHSR	retinal horizontal cells	0.0
ENSG00000121853	GHSR	retinal pigment epithelial cells	0.0
ENSG00000121853	GHSR	rod photoreceptor cells	0.0
ENSG00000121853	GHSR	salivary acinar cells	0.1
ENSG00000121853	GHSR	salivary basal cells	0.0
ENSG00000121853	GHSR	salivary duct cells	0.0
ENSG00000121853	GHSR	salivary ionocytes	0.0
ENSG00000121853	GHSR	salivary myoepithelial cells	0.0
ENSG00000121853	GHSR	schwann cells	0.0
ENSG00000121853	GHSR	sertoli cells	0.0
ENSG00000121853	GHSR	smooth muscle cells	0.0
ENSG00000121853	GHSR	somatotrophs	19.3
ENSG00000121853	GHSR	submucosal glandular cells	0.0
ENSG00000121853	GHSR	suprabasal keratinocytes	0.0
ENSG00000121853	GHSR	syncytiotrophoblasts	0.0
ENSG00000121853	GHSR	t-cells	0.0
ENSG00000121853	GHSR	thymic myoid cells	0.0
ENSG00000121853	GHSR	thymocytes	0.0
ENSG00000121853	GHSR	thyrotrophs	4.8
ENSG00000121853	GHSR	transitional alveolar cells	0.0
ENSG00000121853	GHSR	tuft cells	0.0
ENSG00000121853	GHSR	undifferentiated spermatogonia	0.1
ENSG00000121853	GHSR	urothelial cells	0.0
ENSG00000121853	GHSR	vascular endothelial cells	0.0
ENSG00000121853	GHSR	vascular smooth muscle cells	0.2
ENSG00000157017	GHRL	adipocytes	9.6
ENSG00000157017	GHRL	adrenal cortex cells	0.4
ENSG00000157017	GHRL	adrenal medulla cells	10.6
ENSG00000157017	GHRL	alveolar cells type 1	0.9
ENSG00000157017	GHRL	alveolar cells type 2	0.7
ENSG00000157017	GHRL	astrocytes	3.5
ENSG00000157017	GHRL	b-cells	6.5
ENSG00000157017	GHRL	basal keratinocytes	2.7
ENSG00000157017	GHRL	basal prostatic cells	1.2
ENSG00000157017	GHRL	bergmann glia	3.1
ENSG00000157017	GHRL	brain excitatory neurons	2.0
ENSG00000157017	GHRL	brain inhibitory neurons	1.9
ENSG00000157017	GHRL	breast hormone-responsive cells	0.9
ENSG00000157017	GHRL	breast lactating cells	2.4
ENSG00000157017	GHRL	breast myoepithelial cells	0.0
ENSG00000157017	GHRL	breast secretory cells	0.7
