特征,模型,R2,MAE,RMSE,Spearman
Morgan2048,RandomForest,0.4010777519062726,0.6136422034161931,0.8096452149760178,0.616364185983944
Morgan2048,ExtraTrees,0.060507169294238675,0.7731084228407787,1.014858181727187,0.4917637170271222
Morgan2048,GradBoost,0.4255730157735328,0.6019938427510457,0.7920503518149774,0.6428964908231434
Morgan1024,RandomForest,0.3961283662458087,0.6076430100923847,0.8130526019349658,0.6104534552670751
Morgan1024,ExtraTrees,0.015472194065551892,0.7748276250944541,1.0367464638971349,0.479384823444741
Morgan1024,GradBoost,0.3689279608575178,0.6321276541539118,0.8315643765312893,0.599868672097694
MACCS(167),RandomForest,0.30898265838262545,0.6590380128234412,0.8673895988936353,0.5345325945512778
MACCS(167),ExtraTrees,-0.08094228625889166,0.8249000838447638,1.0870079859163482,0.44817260474824766
MACCS(167),GradBoost,0.33210698004093786,0.6358111344284134,0.852289125262524,0.5725565382436024
描述符(15),RandomForest,0.20766427811034216,0.6954366445177149,0.9307116742732401,0.45874418924885135
描述符(15),ExtraTrees,0.2627817014889452,0.6823141298772629,0.8974712144738499,0.48552798594237967
描述符(15),GradBoost,0.15885189894657611,0.7294619441901757,0.9578976725680661,0.4371964999714758
Morgan+描述符,RandomForest,0.3824360674921092,0.6228828030244927,0.8204192104178679,0.5853011754822737
Morgan+描述符,ExtraTrees,0.3447709792114058,0.6393277888382973,0.844183422123244,0.5893183291363077
Morgan+描述符,GradBoost,0.45309893273664487,0.5994975365108477,0.7710704913474098,0.664527571033614
Morgan+MACCS+描述符,RandomForest,0.38114400308243956,0.6216493335668867,0.821339344500792,0.5846809191354435
Morgan+MACCS+描述符,ExtraTrees,0.3263653741152507,0.6473118144229266,0.8561096836887929,0.585232160384923
Morgan+MACCS+描述符,GradBoost,0.4406483971570417,0.6128347207347274,0.7800464756420635,0.6466288223122566
