模型,R2,R2波动,MAE,RMSE,Spearman
GradientBoosting (当前最佳),0.45309893273664487,0.08648509236065535,0.5994975365108477,0.7710704913474098,0.664527571033614
XGBoost (调参),0.4484663810713587,0.11085710126384174,0.5820470211844937,0.772986132661843,0.6468553747677032
LightGBM (调参),0.394241943843392,0.11950279814277932,0.6032874893374448,0.8102727371753033,0.6137291265719439
XGBoost (默认),0.38291905329367315,0.13033740567609814,0.6207716077938923,0.8166683325346991,0.6091600039861735
RandomForest (对照),0.3824360674921091,0.08155678286389448,0.6228828030244927,0.8204192104178679,0.5853011754822737
LightGBM (默认),0.3232568827135124,0.11689147193600848,0.6341831479470263,0.8577545377393403,0.5742868016815035
